email,matricule,group_id
student1@ams.com,STUD001,1
student2@ams.com,STUD002,1
student3@ams.com,STUD003,1
student4@ams.com,STUD004,2
student5@ams.com,STUD005,2
student6@ams.com,STUD006,3
student7@ams.com,STUD007,3
student8@ams.com,STUD008,5
student9@ams.com,STUD009,5
student10@ams.com,STUD010,8
student11@ams.com,STUD011,1
student12@ams.com,STUD012,1
student13@ams.com,STUD013,1
student14@ams.com,STUD014,2
student15@ams.com,STUD015,2
student16@ams.com,STUD016,2
student17@ams.com,STUD017,3
student18@ams.com,STUD018,3
student19@ams.com,STUD019,3
student20@ams.com,STUD020,4
student21@ams.com,STUD021,4
student22@ams.com,STUD022,4
student23@ams.com,STUD023,5
student24@ams.com,STUD024,5
